
---------- Begin Simulation Statistics ----------
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig         2207      0.02%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       14535060                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.494473                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              289434                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.019913                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 24602412                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                12325381                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         9222957                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  10529408                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  6041907                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          5034445                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                    23074                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                   11281                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses           10987                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     9407436                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      5405502                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                       11540                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                    132489                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             445                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           32514                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
