timestamp,algo,mode,dataset,n,cpu_model,gem5_cycles,gem5_ns,sim_insts
2026-04-07T14:17:40+00:00,pipeline,sc,bunny,0,o3,6885935,6886000.0,12027155
2026-04-07T14:17:52+00:00,pipeline,rvv,bunny,0,o3,FAILED,N/A,N/A
