timestamp,algo,mode,stage,n_in,n_out,instructions
2026-04-07T13:51:56+00:00,pipeline,rvv,VoxelGrid,460400,41049,573874656
2026-04-07T13:51:56+00:00,pipeline,rvv,RANSAC,460400,41049,2031228576
2026-04-07T13:51:56+00:00,pipeline,rvv,ExtractPlane,460400,20301,6636096
2026-04-07T13:51:56+00:00,pipeline,rvv,SOR,460400,19101,43028624960
2026-04-07T13:51:56+00:00,pipeline,rvv,OctreeBuild,460400,19101,37675520
2026-04-07T13:51:56+00:00,pipeline,rvv,NormalEst,460400,19101,6331409408
2026-04-07T13:51:56+00:00,pipeline,rvv,TOTAL,460400,19101,52009449216
