timestamp,algo,mode,dataset,n,cpu_model,gem5_cycles,gem5_ns,sim_insts
2026-04-07T14:44:22+00:00,pipeline,sc,bunny,0,o3,6582832,6583000.0,12026923
2026-04-07T14:44:48+00:00,pipeline,rvv,bunny,0,o3,5096410,5096000.0,9175570
