
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000566                       # Number of seconds simulated (Second)
simTicks                                    565535000                       # Number of ticks simulated (Tick)
finalTick                                   565535000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.84                       # Real time elapsed on the host (Second)
hostTickRate                                308144426                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     402064                       # Number of bytes of host memory used (Byte)
simInsts                                       539390                       # Number of instructions simulated (Count)
simOps                                         539390                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   293881                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     293880                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           565536                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.048473                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.953768                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          769141                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1087                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         668538                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    349                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               230837                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            197868                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  40                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              534550                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.250656                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.672686                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    268018     50.14%     50.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     84727     15.85%     65.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     79281     14.83%     80.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     42081      7.87%     88.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     26583      4.97%     93.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     19131      3.58%     97.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8535      1.60%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3743      0.70%     99.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2451      0.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                534550                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     138      1.76%      1.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      9      0.11%      1.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.88% # attempts to use FU when none available (Count)
