
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002623                       # Number of seconds simulated (Second)
simTicks                                   2623163000                       # Number of ticks simulated (Tick)
finalTick                                  2623163000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     14.06                       # Real time elapsed on the host (Second)
hostTickRate                                186515557                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1203136                       # Number of bytes of host memory used (Byte)
simInsts                                      4301457                       # Number of instructions simulated (Count)
simOps                                        4645889                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   305845                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     330335                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2623164                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.609832                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.639797                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7551941                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    10814                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6836402                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  18922                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2916865                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1356247                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 556                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2594086                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.635380                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.283308                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    810177     31.23%     31.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    155195      5.98%     37.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    314853     12.14%     49.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    349053     13.46%     62.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    327142     12.61%     75.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    217904      8.40%     83.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    357836     13.79%     97.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     36170      1.39%     99.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     25756      0.99%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2594086                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     176      0.17%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      9      0.01%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.17% # attempts to use FU when none available (Count)
