timestamp,algo,mode,stage,n_in,n_out,instructions
2026-04-07T13:41:39+00:00,pipeline,rvv,VoxelGrid,1024,1023,10820192
2026-04-07T13:41:39+00:00,pipeline,rvv,RANSAC,1024,1023,58831008
2026-04-07T13:41:39+00:00,pipeline,rvv,ExtractPlane,1024,819,2846272
2026-04-07T13:41:39+00:00,pipeline,rvv,SOR,1024,705,92959552
2026-04-07T13:41:39+00:00,pipeline,rvv,OctreeBuild,1024,705,10174176
2026-04-07T13:41:39+00:00,pipeline,rvv,NormalEst,1024,705,20779744
2026-04-07T13:41:39+00:00,pipeline,rvv,TOTAL,705,196410944,
